datetime,open,high,low,close,tick_vol,spread
2025-09-09 03:00:00,3634.91,3640.8,3633.39,3638.49,28333,28.0
2025-09-09 04:00:00,3638.49,3647.38,3635.91,3646.36,42859,28.0
2025-09-09 05:00:00,3646.36,3654.45,3644.5,3647.6,42614,28.0
2025-09-09 06:00:00,3647.6,3651.89,3642.65,3645.89,31357,28.0
2025-09-09 07:00:00,3645.9,3657.01,3645.68,3654.97,24012,28.0
2025-09-09 08:00:00,3654.98,3659.32,3652.6,3655.33,31578,28.0
2025-09-09 09:00:00,3655.47,3656.52,3636.57,3647.5,61242,28.0
2025-09-09 10:00:00,3647.49,3650.8,3641.47,3644.34,42083,28.0
2025-09-09 11:00:00,3644.34,3651.01,3641.83,3648.04,44470,28.0
2025-09-09 12:00:00,3648.04,3656.62,3647.55,3653.47,34713,28.0
2025-09-09 13:00:00,3653.48,3656.12,3648.68,3651.86,28603,28.0
2025-09-09 14:00:00,3651.86,3654.19,3646.83,3648.04,30011,28.0
2025-09-09 15:00:00,3648.04,3655.36,3643.75,3647.28,53662,28.0
2025-09-09 16:00:00,3647.29,3668.37,3646.23,3665.5,68583,28.0
2025-09-09 17:00:00,3665.5,3674.06,3636.23,3645.09,91249,28.0
2025-09-09 18:00:00,3645.08,3646.38,3626.74,3645.52,61929,28.0
2025-09-09 19:00:00,3645.51,3649.4,3643.9,3644.93,36442,28.0
2025-09-09 20:00:00,3644.94,3646.28,3641.17,3642.81,26693,28.0
2025-09-09 21:00:00,3642.8,3645.09,3639.57,3640.24,21700,28.0
2025-09-09 22:00:00,3640.25,3641.33,3628.24,3629.19,29751,28.0
2025-09-09 23:00:00,3629.19,3632.74,3626.59,3629.39,8434,28.0
2025-09-10 01:00:00,3627.37,3635.89,3623.15,3635.44,18965,28.0
2025-09-10 02:00:00,3635.44,3640.74,3633.25,3633.49,22870,28.0
2025-09-10 03:00:00,3633.48,3634.37,3621.27,3623.89,32817,28.0
2025-09-10 04:00:00,3623.87,3632.56,3620.15,3630.66,44111,28.0
2025-09-10 05:00:00,3630.7,3638.24,3630.05,3636.23,35647,28.0
2025-09-10 06:00:00,3636.23,3636.98,3633.09,3636.43,21881,28.0
2025-09-10 07:00:00,3636.47,3643.24,3636.46,3642.95,21111,28.0
2025-09-10 08:00:00,3642.94,3645.39,3639.78,3642.79,22331,28.0
2025-09-10 09:00:00,3642.79,3647.56,3640.67,3643.45,33804,28.0
2025-09-10 10:00:00,3643.46,3648.44,3641.06,3644.19,35949,28.0
2025-09-10 11:00:00,3644.18,3647.58,3641.95,3645.7,33645,28.0
2025-09-10 12:00:00,3645.71,3656.05,3644.86,3654.99,29486,28.0
2025-09-10 13:00:00,3654.99,3657.59,3651.38,3655.1,35546,28.0
2025-09-10 14:00:00,3655.1,3656.31,3648.38,3649.3,43910,28.0
2025-09-10 15:00:00,3649.31,3657.16,3640.23,3643.87,54714,28.0
2025-09-10 16:00:00,3643.86,3654.09,3642.18,3651.23,58016,28.0
2025-09-10 17:00:00,3651.24,3655.32,3643.83,3647.42,61596,28.0
2025-09-10 18:00:00,3647.48,3648.65,3638.23,3644.53,42999,28.0
2025-09-10 19:00:00,3644.53,3646.9,3639.8,3642.71,31405,28.0
2025-09-10 20:00:00,3642.71,3647.59,3641.47,3647.47,26331,28.0
2025-09-10 21:00:00,3647.46,3649.68,3644.4,3645.18,18190,28.0
2025-09-10 22:00:00,3645.17,3646.51,3634.83,3641.76,29559,28.0
2025-09-10 23:00:00,3641.82,3642.77,3637.95,3639.15,6140,28.0
2025-09-11 01:00:00,3644.14,3644.31,3637.81,3639.78,6686,26.6
2025-09-11 02:00:00,3639.78,3645.53,3638.45,3644.85,13468,28.0
2025-09-11 03:00:00,3644.85,3647.06,3642.55,3643.86,24558,28.0
2025-09-11 04:00:00,3643.86,3649.05,3639.68,3640.97,30057,28.0
2025-09-11 05:00:00,3640.97,3643.45,3634.02,3637.34,25282,28.0
2025-09-11 06:00:00,3637.34,3637.35,3629.72,3631.98,26041,28.0
2025-09-11 07:00:00,3631.98,3634.27,3630.08,3630.55,15231,28.0
2025-09-11 08:00:00,3630.55,3633.41,3623.19,3624.98,37396,28.0
2025-09-11 09:00:00,3624.95,3638.06,3622.57,3633.29,39625,28.0
2025-09-11 10:00:00,3633.28,3633.37,3623.66,3629.67,37121,28.0
2025-09-11 11:00:00,3629.68,3631.59,3625.27,3626.24,26898,28.0
2025-09-11 12:00:00,3626.24,3626.26,3614.16,3621.89,36760,28.0
